"","Yb173Di","barcode","type"
"975",115,"none","real cells"
"976",1484,"none","real cells"
"977",1506,"none","real cells"
"978",50,"none","real cells"
"979",25,"none","real cells"
"980",51,"none","real cells"
"981",51,"none","real cells"
"982",73,"none","real cells"
"983",77,"none","real cells"
"984",1288,"none","real cells"
"985",75,"none","real cells"
"986",28,"none","real cells"
"987",679,"none","real cells"
"988",62,"none","real cells"
"989",1165,"none","real cells"
"990",1331,"none","real cells"
"991",1225,"none","real cells"
"992",99,"none","real cells"
"993",1263,"none","real cells"
"994",73,"none","real cells"
"995",139,"none","real cells"
"996",52,"none","real cells"
"997",66,"none","real cells"
"998",1460,"none","real cells"
"999",853,"none","real cells"
"1000",909,"none","real cells"
"1001",430,"none","real cells"
"1002",30,"none","real cells"
"1003",976,"none","real cells"
"1004",974,"none","real cells"
"1005",694,"none","real cells"
"1006",0,"none","real cells"
"1007",74,"none","real cells"
"1008",808,"none","real cells"
"1009",1097,"none","real cells"
"1010",1420,"none","real cells"
"1011",82,"none","real cells"
"1012",590,"none","real cells"
"1013",116,"none","real cells"
"1014",55,"none","real cells"
"1015",1145,"none","real cells"
"1016",560,"none","real cells"
"1017",61,"none","real cells"
"1018",996,"none","real cells"
"1019",53,"none","real cells"
"1020",85,"none","real cells"
"1021",92,"none","real cells"
"1022",69,"none","real cells"
"1023",3,"none","real cells"
"1024",81,"none","real cells"
"1025",740,"none","real cells"
"1026",62,"none","real cells"
"1027",40,"none","real cells"
"1028",848,"none","real cells"
"1029",1289,"none","real cells"
"1030",82,"none","real cells"
"1031",30,"none","real cells"
"1032",73,"none","real cells"
"1033",64,"none","real cells"
"1034",96,"none","real cells"
"1035",897,"none","real cells"
"1036",60,"none","real cells"
"1037",71,"none","real cells"
"1038",44,"none","real cells"
"1039",1078,"none","real cells"
"1040",1120,"none","real cells"
"1041",593,"none","real cells"
"1042",1106,"none","real cells"
"1043",84,"none","real cells"
"1044",1563,"none","real cells"
"1045",1038,"none","real cells"
"1046",101,"none","real cells"
"1047",132,"none","real cells"
